"","ds","dep_var","trend","season","holiday","ctv_S","ooh_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2020-01-04,2171506.66666667,0,576875.43904093,0,68813.5111041931,46440.9685965728,7600.89736601785,42748.7779424844,90156.5203329307,1606649.09634377,2439285.21072689,"1_109_12",1,FALSE
"2",2020-01-11,2464131.66666667,0,417491.407845181,0,35855.1703786393,35186.5297155786,10474.6848057661,47680.6710034075,81102.9973240994,1606649.09634377,2234440.55741644,"1_109_12",1,FALSE
"3",2020-01-18,2012520,0,264955.989195692,0,14438.0988211014,24857.4905093085,7428.99031649937,37708.0988220131,79015.5971175711,1606649.09634377,2035053.36112595,"1_109_12",1,FALSE
"4",2020-01-25,1738911.66666667,0,176604.712908681,0,5585.41551285874,16534.8158560675,4413.64092967158,35430.1344371916,66216.4821821437,1606649.09634377,1911434.29817038,"1_109_12",1,FALSE
"5",2020-02-01,1772306.66666667,0,137224.696106597,0,24649.5451228408,27089.4685804064,0.148649893304882,31999.4182026593,46982.9950923988,1606649.09634377,1874595.36809856,"1_109_12",1,FALSE
"6",2020-02-08,1809058.33333333,0,100624.553475141,0,9717.83648413839,18249.8417732304,6512.27528950929,30721.702652881,42261.6555769409,1606649.09634377,1814736.96159561,"1_109_12",1,FALSE
"7",2020-02-15,1952740,0,37924.7411982178,0,148068.122723959,11702.2375486105,606.517336202399,5079.86900797853,63077.7776884006,1606649.09634377,1873108.36184713,"1_109_12",1,FALSE
"8",2020-02-22,1507805,0,-56978.1221051571,0,75890.0086506885,7245.15254846635,0.0201194350181798,750.183831209351,71212.7094708562,1606649.09634377,1704769.04885926,"1_109_12",1,FALSE
"9",2020-02-29,1510391.66666667,0,-178522.002852247,0,134289.988869044,4382.83747063737,2169.68700897885,19414.0800604205,24882.6123376457,1606649.09634377,1613266.29923825,"1_109_12",1,FALSE
"10",2020-03-07,1588840,0,-298424.852564207,0,66597.3893941772,2612.86395595296,0.0724211482293699,29233.8722369568,26634.2048699283,1606649.09634377,1433302.64665772,"1_109_12",1,FALSE
"11",2020-03-14,1605990,0,-354964.877436023,0,75149.0863581619,26259.2140915975,2.39660585369691e-06,27015.729349751,20058.3346320409,1606649.09634377,1400166.58334169,"1_109_12",1,FALSE
"12",2020-03-21,1356010,0,-293809.698754878,0,32716.4621006223,17606.786519966,7.93099545609323e-11,25746.6991313566,22702.73905194,1606649.09634377,1411612.08439277,"1_109_12",1,FALSE
"13",2020-03-28,2103936.66666667,0,-144685.785506535,0,13095.6968088927,31432.4858093199,32217.9368098523,27793.3056414317,30365.268607403,1606649.09634377,1596868.00451413,"1_109_12",1,FALSE
"14",2020-04-04,1120835,0,-39842.4295825842,-434633.238322075,5053.65487857116,21715.838145069,1.6796427034447,22160.1320338474,31990.2857694915,1606649.09634377,1213095.01890879,"1_109_12",1,FALSE
"15",2020-04-11,1141140,0,-116271.298468177,-437883.12910747,1921.92224157632,32069.5935965641,5.55841378350167e-05,20523.1013972608,16407.2166262778,1606649.09634377,1123416.50268538,"1_109_12",1,FALSE
"16",2020-04-18,1166880,0,-378971.847292196,0,11171.4238582654,22239.2178767887,2000.65840505851,19385.0019062775,31948.9703148721,1606649.09634377,1314422.52141283,"1_109_12",1,FALSE
"17",2020-04-25,888806.666666667,0,-674700.049986532,269315.045662972,4295.9420028521,14577.3424957154,0.0667342762880411,19262.4312135403,24570.8849839093,1606649.09634377,1263970.7594505,"1_109_12",1,FALSE
"18",2020-05-02,898873.333333333,0,-824435.873253128,0,1631.53131160671,9163.88077442586,2.20841228719177e-06,14112.3188974155,19510.4603438455,1606649.09634377,826631.41442014,"1_109_12",1,FALSE
"19",2020-05-09,889373.333333334,0,-787085.914084333,0,616.669976357422,27827.7395748786,7.30821373396361e-11,14504.230460611,9632.30873166645,1606649.09634377,872144.131002947,"1_109_12",1,FALSE
"20",2020-05-16,1915375,0,-682967.083549558,508851.052646641,232.659448040692,18826.8119207338,7073.61795967518,2229.53769458225,49240.3074396073,1606649.09634377,1510135.99990349,"1_109_12",1,FALSE
"21",2020-05-23,1006845,0,-656153.796965627,0,87.718302450568,38176.4861311658,0.24081149647652,325.387228088961,65815.2419628182,1606649.09634377,1054900.37381416,"1_109_12",1,FALSE
"22",2020-05-30,869198.333333334,0,-730748.108552505,-71151.259181862,33.0633749517563,27462.901468603,7.96908969262078e-06,10254.8865039986,44715.5345677838,1606649.09634377,887216.114532705,"1_109_12",1,FALSE
"23",2020-06-06,727250,0,-813095.293081896,0,12.4612528536244,18541.0741940584,2.63718016232296e-10,11511.0672289054,24324.7096529254,1606649.09634377,847943.115590613,"1_109_12",1,FALSE
"24",2020-06-13,753730,0,-817231.277139555,0,4.69634765738287,11907.8878913699,8.72711875080388e-15,14808.9000689194,23874.1156483641,1606649.09634377,840013.419160521,"1_109_12",1,FALSE
"25",2020-06-20,999196.666666667,0,-755190.695555003,0,21106.6676289899,37713.2022022972,2536.08521711988,16572.2177840396,11317.1387007948,1606649.09634377,940703.712322004,"1_109_12",1,FALSE
"26",2020-06-27,845843.333333333,0,-694325.635286035,0,8266.32418663493,27052.9811111423,0.08477473838524,15812.311231268,9932.87378498428,1606649.09634377,973388.036146498,"1_109_12",1,FALSE
"27",2020-07-04,1126016.66666667,0,-654964.080343008,0,15722.8207166768,18221.4527600821,2.80541870902312e-06,17952.5770234047,10917.1187777581,1606649.09634377,1014498.98528148,"1_109_12",1,FALSE
"28",2020-07-11,1140978.33333333,0,-587791.780841583,0,6096.78674051252,11682.2259045978,9.28386409447162e-11,19978.7829224052,21451.7074422213,1606649.09634377,1078066.81851192,"1_109_12",1,FALSE
"29",2020-07-18,1242656.66666667,0,-455752.116684298,0,3825.67693839471,48507.4966697898,6441.56828581025,15793.9153469627,20594.1982415272,1606649.09634377,1246059.83514195,"1_109_12",1,FALSE
"30",2020-07-25,1293483.33333333,0,-304055.197322302,0,1451.70216040947,37248.0681360522,0.218732587084541,19884.7134713707,39253.085790757,1606649.09634377,1400431.68731264,"1_109_12",1,FALSE
"31",2020-08-01,1484843.33333333,0,-217089.240911864,0,43055.4968523976,43586.4439248491,17409.1239084791,24037.3611358482,41771.4390615821,1606649.09634377,1559419.72031506,"1_109_12",1,FALSE
"32",2020-08-08,1485698.33333333,0,-211382.10933759,0,17579.289191894,32427.5311102511,0.61864588908612,27416.0353274586,56937.5234017337,1606649.09634377,1529627.9846834,"1_109_12",1,FALSE
"33",2020-08-15,1556608.33333333,0,-203357.147088321,0,63996.0352862555,22534.989711591,181.914002989197,4464.39569185749,68818.2922501628,1606649.09634377,1563287.5761983,"1_109_12",1,FALSE
"34",2020-08-22,1391206.66666667,0,-101191.028632426,0,27233.6827475915,14795.6008986604,55.1004144195155,657.605005630812,73456.9750080036,1606649.09634377,1621657.03178565,"1_109_12",1,FALSE
